

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:03:16 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,RHENC.D-1 (pct) ,SRADT.D-1 (MJ/m) ,LRADT.D-1 (lang) ,
2027,2021-01-01,,-99.9,    19.4,    22.0,    15.3,    18.0,-99.9,    17.4,-99.9,    26.5,    16.1,    27.3,    15.8,-99.9,    15.0,    12.0,     7.8,     0.1,-99.9,    -1.4,     0.1,     0.2,   10.46,-99.9,   16.62,    9.71,   17.20,   12.72,    3.92,     115,     3.3,      98,      99,-99.9,   82.31,
2027,2021-01-02,,-99.9,    19.8,    24.0,    19.2,    20.9,-99.9,    21.3,-99.9,    29.6,    20.8,    29.6,    17.9,-99.9,    17.1,    13.5,     8.1,     0.1,-99.9,    -1.2,     0.1,     0.2,   12.94,-99.9,   18.97,   12.63,   19.03,   12.69,    3.92,     168,     6.1,     100,      99,-99.9,   79.66,
2027,2021-01-03,,-99.9,    15.0,    19.6,    15.0,    18.1,-99.9,    20.3,-99.9,    30.3,    24.8,    35.5,    16.8,-99.9,    16.7,    14.3,     8.7,     0.1,-99.9,    -1.2,     0.1,     0.1,   12.25,-99.9,   19.55,   15.34,   24.00,   12.55,    3.92,     264,     2.4,      96,     100,-99.9,   19.93,
2027,2021-01-04,,-99.9,     6.1,    14.6,     6.1,    10.4,-99.9,    16.8,-99.9,    28.2,    23.5,    35.7,    12.5,-99.9,    14.3,    13.6,     9.0,     0.1,-99.9,    -1.3,     0.1,     0.1,   10.12,-99.9,   17.88,   14.42,   24.18,   12.72,    3.91,     282,     4.4,      96,     100,-99.9,  232.56,
2027,2021-01-05,,-99.9,     5.6,    15.3,     2.8,     8.1,-99.9,    15.7,-99.9,    26.5,    20.4,    35.7,    11.2,-99.9,    13.0,    12.5,     9.0,     0.1,-99.9,    -1.4,     0.1,     0.1,    9.48,-99.9,   16.60,   12.37,   24.20,   12.71,    3.91,     286,     2.2,     100,      99,-99.9,  267.95,
2027,2021-01-06,,-99.9,     7.7,    16.7,     5.2,    10.3,-99.9,    15.0,-99.9,    25.5,    18.5,    35.7,    10.9,-99.9,    12.5,    11.9,     8.8,     0.1,-99.9,    -1.5,     0.1,     0.1,    9.08,-99.9,   15.85,   11.17,   24.17,   12.71,    3.91,     274,     4.0,      73,      99,-99.9,  265.71,
2027,2021-01-07,,-99.9,     7.2,    14.7,     3.5,     8.5,-99.9,    14.5,-99.9,    24.8,    17.3,    35.7,    10.6,-99.9,    12.1,    11.4,     8.6,     0.1,-99.9,    -1.6,     0.1,     0.1,    8.84,-99.9,   15.32,   10.43,   24.16,   12.70,    3.92,      38,     2.7,      78,     100,-99.9,  236.03,
2027,2021-01-08,,-99.9,     8.1,    12.4,     5.9,     8.9,-99.9,    18.5,-99.9,    27.5,    16.8,    35.0,    11.2,-99.9,    11.7,    11.0,     8.4,     0.1,-99.9,    -1.4,     0.1,     0.1,   11.18,-99.9,   17.32,   10.12,   23.53,   12.60,    3.91,      75,     4.6,     100,     100,-99.9,   71.74,
2027,2021-01-09,,-99.9,     5.4,     9.6,     5.4,     8.2,-99.9,    16.6,-99.9,    26.2,    16.9,    35.0,    10.3,-99.9,    11.2,    10.8,     8.2,     0.1,-99.9,    -1.5,     0.1,     0.1,   10.00,-99.9,   16.41,   10.20,   23.59,   12.56,    3.91,     290,     5.8,      82,     100,-99.9,   57.56,
2027,2021-01-10,,-99.9,     3.5,     5.4,     3.5,     4.4,-99.9,    15.5,-99.9,    25.1,    16.3,    32.7,     8.6,-99.9,     9.7,    10.0,     8.0,     0.1,-99.9,    -1.6,     0.1,     0.1,    9.41,-99.9,   15.53,    9.87,   21.58,   12.48,    3.91,     308,     7.3,      76,     100,-99.9,   51.68,
