

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:02:50 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,RHENC.D-1 (pct) ,
2027,2005-01-01,,    6.43,-99.9,    11.7,    20.2,-99.9,     7.1,-99.9,    13.6,-99.9,-99.9,    11.4,    10.2,    12.8,    12.3,    24.9,    11.8,    12.2,    12.2,    12.0,    13.9,     0.1,     0.1,     0.1,     0.1,     0.1,    7.23,    6.63,    7.93,    7.69,   15.42,   13.05,    3.34,    0.00,      91,     2.3,-99.9,-99.9,      60,
2027,2005-01-02,,    6.43,-99.9,    12.9,    24.0,-99.9,    10.1,-99.9,    15.5,-99.9,-99.9,    10.9,    10.0,    12.3,    12.1,    24.6,    13.5,    13.7,    13.5,    12.8,    14.1,     0.1,     0.1,     0.1,     0.1,     0.2,    7.00,    6.57,    7.68,    7.57,   15.20,   13.03,    3.34,    0.00,      75,     1.9,-99.9,-99.9,      59,
2027,2005-01-03,,    6.43,-99.9,    15.3,    24.1,-99.9,    11.0,-99.9,    16.2,-99.9,-99.9,    11.0,     9.6,    12.1,    12.3,    25.0,    14.0,    14.4,    14.4,    13.5,    14.3,     0.1,     0.1,     0.1,     0.1,     0.1,    7.04,    6.38,    7.58,    7.65,   15.46,   13.02,    3.34,    0.00,      90,     2.2,-99.9,-99.9,      60,
2027,2005-01-04,,    6.43,-99.9,    13.3,    23.3,-99.9,     8.9,-99.9,    16.2,-99.9,-99.9,    10.6,     9.6,    11.9,    11.9,    24.9,    14.3,    14.7,    14.8,    14.1,    14.7,     0.1,     0.1,     0.1,     0.1,     0.1,    6.84,    6.35,    7.47,    7.48,   15.44,   13.02,    3.34,    0.00,     118,     1.8,-99.9,-99.9,      60,
2027,2005-01-05,,    6.43,-99.9,    12.7,    24.4,-99.9,    10.2,-99.9,    16.3,-99.9,-99.9,    10.3,     9.3,    11.7,    11.7,    24.7,    14.9,    15.3,    15.4,    14.5,    14.9,     0.1,     0.1,     0.1,     0.1,     0.1,    6.71,    6.24,    7.36,    7.40,   15.25,   13.01,    3.34,    0.00,     197,     1.1,-99.9,-99.9,      60,
2027,2005-01-06,,    6.43,-99.9,    17.5,    24.0,-99.9,     9.4,-99.9,    16.8,-99.9,-99.9,    10.0,     9.2,    11.3,    11.8,    24.6,    15.5,    15.8,    15.4,    14.7,    15.1,     0.1,     0.1,     0.1,     0.1,     0.2,    6.53,    6.17,    7.17,    7.42,   15.16,   13.04,    3.34,    0.00,     191,     2.4,-99.9,-99.9,      60,
2027,2005-01-07,,    6.43,-99.9,    17.9,    24.8,-99.9,    15.1,-99.9,    19.1,-99.9,-99.9,    10.2,     9.0,    10.9,    11.4,    24.7,    16.7,    17.0,    16.5,    15.4,    15.4,     0.1,     0.1,     0.1,     0.1,     0.1,    6.63,    6.08,    6.96,    7.25,   15.24,   13.02,    3.34,    0.00,     200,     4.0,-99.9,-99.9,      60,
2027,2005-01-08,,    6.43,-99.9,    17.4,    23.5,-99.9,    15.5,-99.9,    18.7,-99.9,-99.9,     9.9,     8.9,    10.6,    11.5,    24.7,    16.7,    17.0,    16.7,    15.8,    15.7,     0.1,     0.1,     0.1,     0.1,     0.1,    6.50,    6.06,    6.83,    7.27,   15.24,   13.03,    3.34,    0.00,     171,     2.4,-99.9,-99.9,      60,
2027,2005-01-09,,    6.43,-99.9,    19.2,    23.6,-99.9,    16.5,-99.9,    19.5,-99.9,-99.9,     9.8,     8.8,    10.2,    11.5,    24.6,    17.6,    17.8,    17.2,    16.2,    16.0,     0.1,     0.1,     0.1,     0.1,     0.1,    6.46,    6.00,    6.64,    7.30,   15.21,   13.05,    3.34,    0.00,     206,     3.0,-99.9,-99.9,      60,
2027,2005-01-10,,    6.43,-99.9,    15.4,    22.8,-99.9,    12.9,-99.9,    18.1,-99.9,-99.9,     9.2,     8.6,    10.2,    11.3,    24.5,    16.5,    16.9,    17.1,    16.6,    16.2,     0.1,     0.1,     0.1,     0.1,     0.1,    6.19,    5.92,    6.66,    7.17,   15.15,   13.03,    3.34,    0.00,     298,     2.3,-99.9,-99.9,      61,
2027,2005-01-11,,    6.43,-99.9,    11.9,    22.6,-99.9,    11.7,-99.9,    16.8,-99.9,-99.9,     8.8,     8.3,    10.0,    11.4,    24.6,    16.6,    17.0,    17.4,    16.7,    16.5,     0.1,     0.1,     0.1,     0.1,     0.1,    5.98,    5.78,    6.53,    7.23,   15.21,   13.02,    3.34,    0.00,     290,     2.8,-99.9,-99.9,      60,
2027,2005-01-12,,    6.43,-99.9,    14.5,    23.0,-99.9,    10.5,-99.9,    15.8,-99.9,-99.9,     8.9,     8.1,     9.9,    11.3,    24.3,    15.8,    16.2,    16.6,    16.5,    16.6,     0.1,     0.1,     0.1,     0.1,     0.2,    6.04,    5.69,    6.49,    7.19,   15.00,   13.04,    3.34,    0.00,     177,     1.4,-99.9,-99.9,      61,
